model,family,benchmark,observed,log_active_params,log_total_params,log_train_tokens,is_closed_source,scale_imputed,release_year_norm,saturation_2026,contamination_resistant,retained_v22,output_space
Qwen2.5-7B,Qwen2,BBH,0,1.9459101490553132,1.9459101490553132,9.798127036878302,0.0,0,2.7000000000000455,92,0,0,1
Qwen2.5-7B,Qwen2,GPQA_Diamond,0,1.9459101490553132,1.9459101490553132,9.798127036878302,0.0,0,2.7000000000000455,94,1,0,2
Qwen2.5-7B,Qwen2,AIME_2024,0,1.9459101490553132,1.9459101490553132,9.798127036878302,0.0,0,2.7000000000000455,95,1,0,1
Qwen2.5-7B,Qwen2,LiveCodeBench,0,1.9459101490553132,1.9459101490553132,9.798127036878302,0.0,0,2.7000000000000455,92,1,0,0
Qwen2.5-7B,Qwen2,IFEval,0,1.9459101490553132,1.9459101490553132,9.798127036878302,0.0,0,2.7000000000000455,93,0,0,0
Qwen3-14B-Base,Qwen3,MMLU,1,2.6390573296152584,2.6390573296152584,10.491274217438248,0.0,0,3.4200000000000728,93,0,1,2
Qwen3-14B-Base,Qwen3,ARC_C,0,2.6390573296152584,2.6390573296152584,10.491274217438248,0.0,0,3.4200000000000728,97,0,1,2
Qwen3-14B-Base,Qwen3,GSM8K,1,2.6390573296152584,2.6390573296152584,10.491274217438248,0.0,0,3.4200000000000728,98,0,1,1
Qwen3-14B-Base,Qwen3,HumanEval,0,2.6390573296152584,2.6390573296152584,10.491274217438248,0.0,0,3.4200000000000728,97,0,1,0
Qwen3-14B-Base,Qwen3,MATH,1,2.6390573296152584,2.6390573296152584,10.491274217438248,0.0,0,3.4200000000000728,95,0,1,0
Qwen3-14B-Base,Qwen3,MBPP,1,2.6390573296152584,2.6390573296152584,10.491274217438248,0.0,0,3.4200000000000728,95,0,1,0
Qwen3-14B-Base,Qwen3,MMLU_Pro,1,2.6390573296152584,2.6390573296152584,10.491274217438248,0.0,0,3.4200000000000728,89,1,0,2
Qwen3-14B-Base,Qwen3,BBH,1,2.6390573296152584,2.6390573296152584,10.491274217438248,0.0,0,3.4200000000000728,92,0,0,1
Qwen3-14B-Base,Qwen3,GPQA_Diamond,0,2.6390573296152584,2.6390573296152584,10.491274217438248,0.0,0,3.4200000000000728,94,1,0,2
Qwen3-14B-Base,Qwen3,AIME_2024,0,2.6390573296152584,2.6390573296152584,10.491274217438248,0.0,0,3.4200000000000728,95,1,0,1
Qwen3-14B-Base,Qwen3,LiveCodeBench,0,2.6390573296152584,2.6390573296152584,10.491274217438248,0.0,0,3.4200000000000728,92,1,0,0
Qwen3-14B-Base,Qwen3,IFEval,0,2.6390573296152584,2.6390573296152584,10.491274217438248,0.0,0,3.4200000000000728,93,0,0,0
Qwen3-235B-A22B-Base,Qwen3,MMLU,1,3.091042453358316,5.459585514144159,10.491274217438248,0.0,0,3.4200000000000728,93,0,1,2
Qwen3-235B-A22B-Base,Qwen3,ARC_C,0,3.091042453358316,5.459585514144159,10.491274217438248,0.0,0,3.4200000000000728,97,0,1,2
Qwen3-235B-A22B-Base,Qwen3,GSM8K,1,3.091042453358316,5.459585514144159,10.491274217438248,0.0,0,3.4200000000000728,98,0,1,1
Qwen3-235B-A22B-Base,Qwen3,HumanEval,0,3.091042453358316,5.459585514144159,10.491274217438248,0.0,0,3.4200000000000728,97,0,1,0
Qwen3-235B-A22B-Base,Qwen3,MATH,1,3.091042453358316,5.459585514144159,10.491274217438248,0.0,0,3.4200000000000728,95,0,1,0
Qwen3-235B-A22B-Base,Qwen3,MBPP,1,3.091042453358316,5.459585514144159,10.491274217438248,0.0,0,3.4200000000000728,95,0,1,0
Qwen3-235B-A22B-Base,Qwen3,MMLU_Pro,1,3.091042453358316,5.459585514144159,10.491274217438248,0.0,0,3.4200000000000728,89,1,0,2
Qwen3-235B-A22B-Base,Qwen3,BBH,1,3.091042453358316,5.459585514144159,10.491274217438248,0.0,0,3.4200000000000728,92,0,0,1
Qwen3-235B-A22B-Base,Qwen3,GPQA_Diamond,0,3.091042453358316,5.459585514144159,10.491274217438248,0.0,0,3.4200000000000728,94,1,0,2
Qwen3-235B-A22B-Base,Qwen3,AIME_2024,0,3.091042453358316,5.459585514144159,10.491274217438248,0.0,0,3.4200000000000728,95,1,0,1
Qwen3-235B-A22B-Base,Qwen3,LiveCodeBench,0,3.091042453358316,5.459585514144159,10.491274217438248,0.0,0,3.4200000000000728,92,1,0,0
